x,dax_TVKDE,nq_TVKDE,dow_TVKDE,crix_TVKDE,snp500_TVKDE,btc_TVKDE,dax_U,nq_U,dow_U,crix_U,snp500_U,btc_U
-7.660830415207602,2.23888551730977e-16,2.3725877229952417e-16,2.220446049250313e-16,0.0066723892206692215,2.220446049250313e-16,0.007360518966415646,2.3806188501988385e-16,2.2852090590201136e-16,2.220446049250313e-16,0.006671547517889458,2.220446049250313e-16,0.007360098986353819
-7.632316158079039,2.336415526070244e-16,2.5422051295351966e-16,2.220446049250313e-16,0.006847723093518046,2.220446049250313e-16,0.007476275266826664,2.2376005369571947e-16,2.0724163126336256e-16,2.220446049250313e-16,0.0068468731275599555,2.220446049250313e-16,0.007475601422479378
-7.603801900950476,2.2056366506868815e-16,2.409081165008384e-16,2.220446049250313e-16,0.007024402921088109,2.220446049250313e-16,0.007593812022634727,2.057446291526122e-16,2.177270709403779e-16,2.220446049250313e-16,0.007023544786798095,2.220446049250313e-16,0.00759290158816625
-7.5752876438219126,2.2418409721206935e-16,2.245631664160791e-16,2.220446049250313e-16,0.0072023547027453404,2.220446049250313e-16,0.007712823768170013,2.440948677752254e-16,2.5494010195096187e-16,2.220446049250313e-16,0.007201488722959746,2.220446049250313e-16,0.007711694196596685
-7.546773386693346,2.221088539426601e-16,2.391348436142843e-16,2.220446049250313e-16,0.0073807052407688775,2.220446049250313e-16,0.00783321067605795,2.4185900196174416e-16,2.1998863636091064e-16,2.220446049250313e-16,0.007379830329053566,2.220446049250313e-16,0.007831879409887724
-7.5182591295647825,2.3817110834985275e-16,2.324786453879437e-16,2.220446049250313e-16,0.007559624420965958,2.220446049250313e-16,0.007954918994458443,2.239977750609459e-16,2.4018852750339613e-16,2.220446049250313e-16,0.007558740010054492,2.220446049250313e-16,0.007953403334796334
-7.489744872436219,2.437607728835558e-16,2.467547771050565e-16,2.220446049250313e-16,0.0077387109025975915,2.220446049250313e-16,0.008077753444696032,2.3701462603253485e-16,2.398929820223038e-16,2.220446049250313e-16,0.007737816438916653,2.220446049250313e-16,0.008076069811716588
-7.461230615307652,2.2117081828528002e-16,2.303969772167715e-16,2.220446049250313e-16,0.007917624516489497,2.220446049250313e-16,0.008201153323550878,2.139749283108577e-16,2.4247579253098036e-16,2.220446049250313e-16,0.007916718928010753,2.220446049250313e-16,0.008199318888330951
-7.432716358179089,2.58435248509967e-16,2.391862428283873e-16,2.220446049250313e-16,0.00809636135530837,2.220446049250313e-16,0.008325493222547841,2.3772136522645134e-16,2.1800334171618162e-16,2.220446049250313e-16,0.00809544340724612,2.220446049250313e-16,0.008323523858746948
-7.404202101050526,2.244603679878731e-16,2.5407274021297347e-16,2.220446049250313e-16,0.008274686308872596,2.220446049250313e-16,0.008449601034703314,2.245631664160791e-16,2.5030132287816464e-16,2.220446049250313e-16,0.008273754760469387,2.220446049250313e-16,0.00844751308044568
-7.375687843921963,2.183438615096141e-16,2.229858530332928e-16,2.220446049250313e-16,0.008452333692312955,2.220446049250313e-16,0.008573672316259466,2.363335864456699e-16,2.321702501033256e-16,2.220446049250313e-16,0.008451387088816494,2.220446049250313e-16,0.008571479972775865
-7.347173586793396,2.1433472280957883e-16,2.2441057499921077e-16,2.220446049250313e-16,0.00862908992705257,2.220446049250313e-16,0.008697084601094486,2.2101662064297097e-16,2.523091046790637e-16,2.220446049250313e-16,0.008628126328386259,2.220446049250313e-16,0.008694802161874958
